Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.25,0.25,0.4085753697131685
75% Corpus,4,0.25,0.5,0.4090530195856817
75% Corpus,4,0.25,0.75,0.4051383007342368
75% Corpus,4,0.25,1.0,0.406567981128199
75% Corpus,4,0.25,symmetric,0.4089959946368442
75% Corpus,4,0.5,0.25,0.4137137391402882
75% Corpus,4,0.5,0.5,0.415337604123785
75% Corpus,4,0.5,0.75,0.4130584340132933
75% Corpus,4,0.5,1.0,0.40539306885812687
75% Corpus,4,0.5,symmetric,0.40867857243136985
75% Corpus,4,0.75,0.25,0.40729699858380514
75% Corpus,4,0.75,0.5,0.4087456177447773
75% Corpus,4,0.75,0.75,0.4087456177447773
75% Corpus,4,0.75,1.0,0.4190498092832773
75% Corpus,4,0.75,symmetric,0.4045539523963881
75% Corpus,4,1.0,0.25,0.4098645639563473
75% Corpus,4,1.0,0.5,0.4098645639563473
75% Corpus,4,1.0,0.75,0.408956293416063
75% Corpus,4,1.0,1.0,0.41192538082564395
75% Corpus,4,1.0,symmetric,0.4098645639563473
75% Corpus,4,symmetric,0.25,0.40676255094162295
75% Corpus,4,symmetric,0.5,0.40363579752286166
75% Corpus,4,symmetric,0.75,0.4112606903508106
75% Corpus,4,symmetric,1.0,0.40053027819292236
75% Corpus,4,symmetric,symmetric,0.4089959946368442
75% Corpus,4,asymmetric,0.25,0.4424101625346146
75% Corpus,4,asymmetric,0.5,0.44888865669645595
75% Corpus,4,asymmetric,0.75,0.44306251332333235
75% Corpus,4,asymmetric,1.0,0.44799303688102143
75% Corpus,4,asymmetric,symmetric,0.44692260804797646
75% Corpus,5,0.25,0.25,0.3954224629241664
75% Corpus,5,0.25,0.5,0.39759965017378046
75% Corpus,5,0.25,0.75,0.3942278928750899
75% Corpus,5,0.25,1.0,0.3964316665557251
75% Corpus,5,0.25,symmetric,0.38612333960732204
75% Corpus,5,0.5,0.25,0.4095870551293812
75% Corpus,5,0.5,0.5,0.4138148723825976
75% Corpus,5,0.5,0.75,0.4134765181737185
75% Corpus,5,0.5,1.0,0.40585851819395485
75% Corpus,5,0.5,symmetric,0.4139140683377943
75% Corpus,5,0.75,0.25,0.41235758349319607
75% Corpus,5,0.75,0.5,0.4089539167106014
75% Corpus,5,0.75,0.75,0.4095997445087975
75% Corpus,5,0.75,1.0,0.4215472253605662
